anc,census_tract,coords,district,method,objectid,offense,report_time,shift,ward
1B,3600.0,"[-77.0288779665, 38.9224322752]",THIRD,OTHERS,190666,THEFT F/AUTO,2016-05-08T10:11:14.000Z,DAY,1
2C,10100.0,"[-77.0319703169, 38.9007754162]",FIRST,OTHERS,190667,THEFT/OTHER,2016-05-08T10:30:52.000Z,DAY,2
4C,2502.0,"[-77.0253905576, 38.941341523]",FOURTH,OTHERS,190668,THEFT/OTHER,2016-05-08T10:41:52.000Z,DAY,4
6D,6400.0,"[-77.0114222461, 38.8720334858]",FIRST,KNIFE,190669,ASSAULT W/DANGEROUS WEAPON,2016-05-08T10:56:48.000Z,DAY,6
7C,7806.0,"[-76.9346105522, 38.9041486353]",SIXTH,OTHERS,190670,BURGLARY,2016-05-08T11:09:05.000Z,DAY,7
7F,9603.0,"[-76.9426218438, 38.8913969986]",SIXTH,OTHERS,190671,THEFT F/AUTO,2016-05-08T11:11:41.000Z,DAY,7
6D,7200.0,"[-77.0058914434, 38.8788442457]",FIRST,OTHERS,190672,THEFT F/AUTO,2016-05-08T11:51:50.000Z,DAY,6
6D,10200.0,"[-77.0176464754, 38.8778701543]",FIRST,OTHERS,190673,THEFT F/AUTO,2016-05-08T11:55:52.000Z,DAY,6
8B,7408.0,"[-76.972709959, 38.8530230919]",SEVENTH,GUN,190674,ASSAULT W/DANGEROUS WEAPON,2016-05-08T12:03:38.000Z,DAY,8
5D,8803.0,"[-76.9888757387, 38.9117784573]",FIFTH,OTHERS,190675,SEX ABUSE,2016-05-08T12:16:58.000Z,DAY,5
8A,7601.0,"[-76.9754692494, 38.8694820895]",SEVENTH,KNIFE,190676,ASSAULT W/DANGEROUS WEAPON,2016-05-08T12:28:01.000Z,DAY,8
2C,5800.0,"[-77.0219286432, 38.8991292028]",FIRST,OTHERS,190677,THEFT/OTHER,2016-05-08T12:48:29.000Z,DAY,2
6C,10600.0,"[-76.9984459604, 38.9007707726]",FIRST,OTHERS,190678,THEFT/OTHER,2016-05-08T13:08:35.000Z,DAY,6
7C,7804.0,"[-76.9300576829, 38.8913361012]",SIXTH,OTHERS,190679,MOTOR VEHICLE THEFT,2016-05-08T13:22:02.000Z,DAY,7
6A,7901.0,"[-76.9803929289, 38.8996160678]",FIFTH,KNIFE,190680,ASSAULT W/DANGEROUS WEAPON,2016-05-08T13:37:09.000Z,DAY,6
4C,2502.0,"[-77.025113346, 38.9402786044]",FOURTH,OTHERS,190681,THEFT/OTHER,2016-05-08T13:39:23.000Z,DAY,4
2C,5800.0,"[-77.0319579289, 38.8988566386]",SECOND,OTHERS,190682,THEFT F/AUTO,2016-05-08T13:42:07.000Z,DAY,2
